State,ZipCode,ConstituentCode,First gift type,First gift fund,FirstgiftBlock,AgeBlock,Gender,Marital status,activeDoner
MN,55803,Alumni ,,,0-0,31-40,Female,,0
GA,Other,Friend ,One-time gift,Other,101-500,0-0,Male,,1
NY,Other,Alumni ,,,0-0,51-60,Female,Married,0
MN,Other,Alumni ,,,0-0,21-30,Unknown,,0
MN,Other,Friend ,One-time gift,Women's Soccer Fund,11-50,0-0,Female,,1
,,Students ,,,0-0,21-30,Unknown,,0
IL,Other,Friend ,One-time gift,Women's Hockey Fund,101-500,0-0,Male,Married,1
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
CA,Other,Friend ,One-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,,1
WI,54880,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,51-60,Male,,0
MN,55807,Alumni ,,,0-0,31-40,Male,,0
,,Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Former Parent ,,,0-0,0-0,Male,,0
Other,Other,Friend ,,,0-0,0-0,Female,,0
ND,Other,Alumni ,,,0-0,41-50,Female,Single,0
MN,Other,Alumni ,,,0-0,31-40,Female,,0
,,Students ,,,0-0,21-30,Male,,0
MN,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MI,Other,Friend ,One-time gift,Other,101-500,0-0,Male,Married,1
WI,54880,Friend ,One-time gift,Other,101-500,0-0,Female,Widowed,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55811,Friend ,One-time gift,Men's Basketball Fund,11-50,0-0,Female,Married,1
GA,Other,Alumni ,,,0-0,0-0,Male,,0
,,Friend ,One-time gift,Other,11-50,0-0,Female,,1
WI,Other,Alumni ,,,0-0,31-40,Female,,0
NJ,Other,Alumni ,,,0-0,0-0,Male,,0
AZ,Other,Alumni ,,,0-0,41-50,Male,Married,0
WI,54847,Alumni ,,,0-0,51-60,Female,Single,0
MN,55810,Alumni ,,,0-0,31-40,Male,Married,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
OR,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Male,Married,1
WI,Other,Alumni ,,,0-0,51-60,Female,,0
MN,55810,Friend ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,0-0,Male,Married,1
Other,Other,Friend ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
IN,Other,Alumni ,,,0-0,0-0,Male,,0
Other,Other,Alumni ,One-time gift,Superior Fund,11-50,0-0,Male,Married,1
Other,Other,Alumni ,,,0-0,41-50,Male,,0
MN,55707,Alumni ,,,0-0,41-50,Male,Married,0
MN,55807,Alumni ,,,0-0,21-30,Female,Married,0
MN,55802,Alumni ,,,0-0,51-60,Male,Married,0
TX,Other,Alumni ,One-time gift,Superior Fund,11-50,51-60,Male,Married,1
MN,Other,Alumni ,,,0-0,41-50,Female,Single,0
PA,Other,Friend ,One-time gift,Other,11-50,0-0,Female,Married,1
MN,55707,Alumni ,Pledge,Superior Fund,11-50,71-80,Female,Married,1
CO,Other,Friend ,,,0-0,0-0,Female,,0
ND,Other,Friend ,One-time gift,Other,51-100,0-0,Female,,1
WI,54873,Retired Faculty/Staff ,,,0-0,0-0,Female,,0
WI,54880,Alumni ,,,0-0,31-40,Female,Married,0
WI,54701,Friend ,,,0-0,0-0,Male,,0
WI,54501,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,One-time gift,Men's Basketball Fund,101-500,0-0,Male,,1
WI,54843,Alumni ,,,0-0,0-0,Female,Married,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
IL,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,71-80,Male,Married,0
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Friend ,One-time gift,Women's Hockey Fund,11-50,0-0,Unknown,,1
AZ,Other,Alumni ,,,0-0,71-80,Male,Married,0
,,Faculty/Staff ,One-time gift,Alumni Association Fund,11-50,0-0,Female,,1
,,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Friend ,One-time gift,Men's Cross Country/Track Fund,11-50,0-0,Female,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,31-40,Male,,0
,,Attended Didn't Graduate ,,,0-0,31-40,Female,,0
MN,Other,Alumni ,,,0-0,31-40,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
VA,Other,Alumni ,One-time gift,Superior Fund,11-50,21-30,Female,Married,1
MN,55807,Alumni ,One-time gift,Other,0-10,61-70,Female,Married,1
,,Alumni ,,,0-0,0-0,Male,,0
VA,Other,Alumni ,,,0-0,0-0,Female,Married,0
MN,Other,Alumni ,Pledge,Superior Fund,0-10,51-60,Female,Married,1
Other,Other,Alumni ,,,0-0,51-60,Female,,0
MN,55303,Alumni ,,,0-0,61-70,Female,Married,0
,,Students ,,,0-0,41-50,Female,,0
MN,Other,Alumni ,One-time gift,Other,0-10,61-70,Male,Married,1
WI,54880,Alumni ,One-time gift,Foundation Scholarship Fund,0-10,61-70,Female,,1
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
,,Friend ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,0-20,Female,,0
MN,55804,Friend ,One-time gift,Other,51-100,0-0,Female,,1
WI,54806,Parent ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Unknown,,0
MN,Other,Friend ,One-time gift,Men's Cross Country/Track Fund,11-50,0-0,Male,,1
Other,Other,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,31-40,Female,Single,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,54880,Alumni ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,31-40,Female,Single,1
WI,54801,Alumni ,,,0-0,61-70,Female,Married,0
WI,54880,Alumni ,One-time gift,Alumni Association Fund,11-50,21-30,Female,,1
WI,54806,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
WI,Other,Alumni ,,,0-0,61-70,Female,Married,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
WI,54880,Business ,One-time gift,Other,11-50,0-0,,,1
MN,55720,Alumni ,,,0-0,21-30,Female,,0
OH,Other,Foundation ,One-time gift,Other,0-0,0-0,,,0
,,Alumni ,,,0-0,21-30,Female,,0
WI,Other,Alumni ,,,0-0,61-70,Unknown,,0
WI,Other,School ,,,0-0,0-0,,,0
WI,54880,Business ,,,0-0,0-0,,,0
,,Students ,,,0-0,41-50,Male,,0
MI,Other,Friend ,,,0-0,0-0,Male,,0
WA,Other,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
MN,Other,Alumni ,,,0-0,61-70,Male,,0
FL,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,51-100,71-80,Male,Married,1
MN,55806,Parent ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
Other,Other,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,0-20,Female,,0
CO,Other,Friend ,One-time gift,Other,101-500,0-0,Female,,1
MI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,54880,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
,,Alumni ,,,0-0,21-30,Male,,0
,,Students ,,,0-0,21-30,Female,,0
WI,Other,Alumni ,,,0-0,61-70,Male,,0
VA,Other,Alumni ,,,0-0,41-50,Female,,0
WI,54880,Business ,One-time gift,0-Unassigned For Use In History,101-500,0-0,,,1
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
WI,54880,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,61-70,Female,Married,1
MN,55807,Alumni ,,,0-0,51-60,Female,,0
,,Students ,,,0-0,41-50,Female,,0
WI,,Former Parent ,,,0-0,0-0,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,55733,Faculty/Staff ,Soft credit one-time gift,Women's Volleyball Fund,101-500,21-30,Female,Married,1
MN,55733,Friend ,One-time gift,Women's Volleyball Fund,51-100,21-30,Male,Married,1
MN,55733,Alumni ,One-time gift,Women's Volleyball Fund,51-100,51-60,Female,Married,1
MN,Other,Alumni ,,,0-0,21-30,Female,,0
MN,55733,Friend ,One-time gift,Women's Volleyball Fund,11-50,0-0,Male,,1
MN,55733,Alumni ,Soft credit one-time gift,Women's Volleyball Fund,51-100,51-60,Male,Married,1
CA,Other,Alumni ,,,0-0,0-0,Female,Widowed,0
Other,Other,Alumni ,,,0-0,31-40,Male,Married,0
WI,Other,Alumni ,,,0-0,41-50,Female,,0
Other,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,41-50,Female,,0
MN,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Female,Married,1
,,Former Faculty & Staff ,,,0-0,0-0,Male,,0
MN,Other,Alumni ,,,0-0,61-70,Male,,0
IA,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Female,,1
WI,54893,Alumni ,,,0-0,31-40,Male,Single,0
,,Students ,,,0-0,21-30,Male,,0
WI,Other,Parent ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,71-80,Female,Married,0
MN,55803,Friend ,One-time gift,Other,11-50,0-0,Female,Married,1
OR,Other,Friend ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
MN,55803,Alumni ,One-time gift,Other,11-50,61-70,Female,Married,1
MN,Other,Alumni ,,,0-0,41-50,Male,,0
MN,Other,Friend ,One-time gift,Men's Basketball Fund,11-50,0-0,Male,,1
WI,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,55803,Alumni ,,,0-0,41-50,Female,Married,0
MN,55803,Alumni ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,0-20,Male,,0
WI,54880,Parent ,,,0-0,0-0,Male,Married,0
MN,55803,Alumni ,Pledge,Superior Fund,11-50,71-80,Female,Married,1
WI,54880,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
WI,Other,Alumni ,,,0-0,51-60,Female,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Unknown,,0
WI,54880,Former Parent ,,,0-0,0-0,Female,Married,0
WI,54880,Friend ,One-time gift,Other,101-500,Over 80,Female,Widowed,1
MN,Other,Alumni ,Pledge,Superior Fund,11-50,61-70,Female,Married,1
MN,Other,Alumni ,,,0-0,41-50,Female,Married,0
MN,55707,Alumni ,One-time gift,Foundation Scholarship Fund,11-50,41-50,Female,Married,1
,,Students ,,,0-0,0-20,Female,,0
MN,Other,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,31-40,Unknown,,0
WI,Other,Alumni ,,,0-0,31-40,Unknown,,0
IA,Other,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,61-70,Male,,1
WI,Other,Alumni ,,,0-0,21-30,Female,,0
,,Alumni ,,,0-0,0-0,Male,,0
GA,Other,Friend ,One-time gift,Other,11-50,0-0,Male,,1
IN,Other,Alumni ,,,0-0,41-50,Male,Single,0
PA,Other,Alumni ,,,0-0,51-60,Female,,0
MN,Other,Friend ,One-time gift,Women's Volleyball Fund,11-50,0-0,Female,Single,1
MN,55804,Alumni ,,,0-0,71-80,Female,Married,0
IL,Other,Parent ,One-time gift,Women's Soccer Fund,11-50,0-0,Unknown,Married,1
,,Students ,,,0-0,0-20,Female,,0
MI,Other,Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
MI,Other,Parent ,,,0-0,0-0,Female,Married,0
MN,Other,Alumni ,,,0-0,31-40,Male,Single,0
MN,Other,Alumni ,,,0-0,0-0,Female,Married,0
NY,Other,Alumni ,One-time gift,Alumni Association Fund,11-50,51-60,Male,,1
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,Married,0
MN,Other,Alumni ,,,0-0,51-60,Male,,0
CO,Other,Alumni ,One-time gift,Other,11-50,0-0,Female,Married,1
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
CA,Other,Alumni ,One-time gift,Other,51-100,0-0,Male,,1
MN,Other,Parent ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
WI,Other,Parent ,,,0-0,0-0,Female,,0
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MI,Other,Alumni ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
WI,Other,Alumni ,,,0-0,0-0,Female,Married,0
MN,Other,Friend ,One-time gift,Other,51-100,0-0,Female,,1
WI,54891,Alumni ,Pledge,Superior Fund,11-50,61-70,Female,Married,1
MN,55811,Alumni ,,,0-0,51-60,Female,Married,0
,,Former Faculty & Staff ,,,0-0,0-0,Female,,0
WI,54880,Former Parent ,,,0-0,0-0,Unknown,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
MI,Other,Alumni ,One-time gift,Men's Basketball Fund,101-500,0-0,Male,,1
WI,54880,Parent ,,,0-0,0-0,Unknown,,0
,,Students ,,,0-0,0-20,Unknown,,0
WI,Other,Friend ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
,,Former Faculty & Staff ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,31-40,Male,,0
MN,Other,Alumni ,One-time gift,Men's Soccer Fund,101-500,21-30,Male,,1
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Parent ,,,0-0,0-0,Female,Married,0
,,Students ,,,0-0,21-30,Female,,0
MN,55811,Friend ,One-time gift,Men's Soccer Fund,11-50,0-0,Female,Married,1
MN,55807,Alumni ,,,0-0,31-40,Female,Single,0
WI,Other,Alumni ,,,0-0,71-80,Male,Married,0
WI,54703,Alumni ,,,0-0,31-40,Male,,0
MN,Other,Friend ,One-time gift,Other,11-50,0-0,Unknown,,1
Other,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,55811,Alumni ,,,0-0,21-30,Unknown,,0
WI,Other,Alumni ,,,0-0,51-60,Female,,0
,,Students ,,,0-0,0-20,Male,,0
WI,54849,Parent ,,,0-0,0-0,Male,Married,0
MN,55110,Alumni ,,,0-0,41-50,Female,,0
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,Married,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
WI,54880,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Female,,0
WI,54880,Former Faculty & Staff ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
WI,54880,Parent ,,,0-0,0-0,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,,0
WI,Other,Friend ,One-time gift,Women's Softball Fund,11-50,0-0,Male,Married,1
,,Students ,,,0-0,21-30,Female,,0
MN,55811,Alumni ,One-time gift,Superior Fund,11-50,71-80,Female,,1
MN,55811,Friend ,One-time gift,Other,51-100,0-0,Female,Married,1
MN,55811,Faculty/Staff ,One-time gift,Women's Soccer Fund,101-500,0-0,Female,,1
MN,55811,Friend ,One-time gift,Women's Soccer Fund,101-500,0-0,Female,Married,1
WI,Other,Alumni ,,,0-0,41-50,Male,,0
,,Students ,,,0-0,31-40,Unknown,,0
FL,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
,,Attended Didn't Graduate ,,,0-0,41-50,Unknown,,0
,,Parent ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
WI,Other,Alumni ,,,0-0,61-70,Male,Married,0
MO,Other,Friend ,One-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,,1
MN,55803,Alumni ,,,0-0,31-40,Female,Married,0
,,Students ,,,0-0,21-30,Female,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
FL,Other,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,0-0,Female,Married,1
FL,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,51-100,0-0,Male,Married,1
MN,55806,Alumni ,,,0-0,21-30,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
IL,Other,Attended Didn't Graduate ,,,0-0,31-40,Male,,0
MI,Other,Former Parent ,One-time gift,Men's Soccer Fund,51-100,0-0,Male,Married,1
MI,Other,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
MN,55779,Alumni ,,,0-0,41-50,Female,,0
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
AK,Other,Alumni ,Recurring gift payment,Superior Fund,11-50,61-70,Female,,1
Other,Other,Former Parent ,,,0-0,0-0,Female,,0
MN,55807,Alumni ,,,0-0,41-50,Male,Single,0
NC,Other,Alumni ,,,0-0,71-80,Male,,0
,,Students ,,,0-0,0-20,Unknown,,0
WI,Other,Parent ,,,0-0,0-0,Unknown,,0
MN,55720,Attended Didn't Graduate ,,,0-0,31-40,Female,Single,0
MN,55811,Parent ,,,0-0,0-0,Male,Married,0
,,Students ,,,0-0,21-30,Female,,0
FL,Other,Alumni ,,,0-0,71-80,Female,,0
,,Alumni ,,,0-0,0-0,Unknown,,0
WI,54729,Alumni ,One-time gift,Foundation Scholarship Fund,11-50,0-0,Female,Married,1
WI,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
Other,Other,Alumni ,,,0-0,31-40,Female,,0
MN,55811,Alumni ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,41-50,Male,Single,1
MN,55807,Alumni ,,,0-0,51-60,Female,Single,0
Other,Other,Alumni ,,,0-0,61-70,Female,Married,0
MN,Other,Friend ,One-time gift,Women's Basketball Fund,51-100,0-0,Female,,1
WI,54729,Alumni ,,,0-0,0-0,Female,,0
IL,Other,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
FL,Other,Alumni ,,,0-0,0-0,Female,,0
IL,Other,Former Parent ,,,0-0,0-0,Male,Married,0
,,Alumni ,,,0-0,0-0,Unknown,,0
IL,Other,Alumni ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,31-40,Male,,0
MN,Other,Alumni ,,,0-0,21-30,Male,,0
MN,Other,Former Parent ,,,0-0,0-0,Unknown,Married,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
Other,Other,Business ,One-time gift,Other,0-0,0-0,,,0
IL,Other,Alumni ,,,0-0,51-60,Unknown,,0
NJ,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
WI,54874,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,71-80,Female,Married,1
Other,Other,Alumni ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,31-40,Female,,0
,,Attended Didn't Graduate ,,,0-0,21-30,Female,,0
MN,55806,Former Parent ,,,0-0,0-0,Female,,0
MI,Other,Alumni ,,,0-0,41-50,Female,,0
IL,Other,Alumni ,,,0-0,0-0,Male,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
MN,Other,Friend ,One-time gift,"Nicholson, G.W., Scholarship",11-50,0-0,Female,,1
MN,Other,Other Organizations ,Pledge,Other,0-0,0-0,,,0
MN,55811,Alumni ,,,0-0,71-80,Male,,0
WI,Other,Alumni ,,,0-0,41-50,Female,Single,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
,,Students ,,,0-0,0-20,Male,,0
WI,Other,Alumni ,,,0-0,21-30,Unknown,,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
Other,Other,Alumni ,One-time gift,Total gifts given prior to 7/1/86,101-500,71-80,Male,Married,1
IA,Other,Alumni ,,,0-0,71-80,Female,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,,0
NJ,Other,Foundation ,Matching gift pledge,Other,101-500,0-0,,,1
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
MN,55779,Parent ,,,0-0,0-0,Female,,0
OR,Other,Alumni ,,,0-0,61-70,Female,Married,0
OH,Other,Alumni ,One-time gift,Other,0-10,71-80,Male,,1
MN,Other,Alumni ,,,0-0,41-50,Male,Single,0
WI,Other,Alumni ,,,0-0,0-0,Male,,0
MN,Other,Friend ,One-time gift,Men's Baseball Fund,11-50,0-0,Female,Married,1
,,Students ,,,0-0,21-30,Female,,0
,,Attended Didn't Graduate ,,,0-0,31-40,Male,,0
MN,Other,Alumni ,,,0-0,0-0,Male,,0
,,Students ,,,0-0,21-30,Unknown,,0
WI,54843,Parent ,,,0-0,0-0,Male,Married,0
MN,55808,Alumni ,,,0-0,31-40,Male,Single,0
MN,Other,Friend ,One-time gift,Women's Hockey Fund,11-50,0-0,Female,Married,1
,,Parent ,,,0-0,0-0,Female,,0
MN,Other,Alumni ,,,0-0,31-40,Male,,0
WI,Other,Alumni ,,,0-0,31-40,Female,Single,0
MN,55811,Alumni ,,,0-0,0-0,Male,,0
,,Alumni ,,,0-0,0-0,Male,,0
WI,54806,Alumni ,,,0-0,61-70,Female,Married,0
WI,54880,Alumni ,One-time gift,Superior Fund,11-50,41-50,Female,Married,1
,,Students ,,,0-0,21-30,Male,,0
MN,Other,Parent ,One-time gift,Men's Soccer Fund,101-500,0-0,Male,Married,1
NY,Other,Alumni ,,,0-0,21-30,Female,,0
NY,Other,Parent ,,,0-0,0-0,Male,Married,0
NY,Other,Parent ,,,0-0,0-0,Female,Married,0
MN,55812,Friend ,One-time gift,Men's Hockey Fund,11-50,0-0,Male,,1
CA,Other,Alumni ,,,0-0,41-50,Male,,0
WI,54880,Alumni ,One-time gift,Men's Baseball Fund,11-50,51-60,Male,,1
WI,54880,Friend ,One-time gift,Men's Hockey Fund,11-50,0-0,Male,,1
WI,54880,Alumni ,,,0-0,0-0,Female,Married,0
WI,54880,Alumni ,,,0-0,0-0,Male,,0
WI,54880,Alumni ,,,0-0,51-60,Female,Married,0
WI,Other,Alumni ,,,0-0,51-60,Female,,0
WI,Other,Alumni ,,,0-0,31-40,Female,,0
MN,55720,Parent ,,,0-0,0-0,Unknown,,0
MN,Other,Business ,One-time gift,Other,51-100,0-0,,,1
,,Students ,,,0-0,21-30,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,,0
MN,55803,Friend ,One-time gift,Men's Soccer Fund,101-500,0-0,Male,Married,1
MN,55720,Alumni ,,,0-0,51-60,Male,Married,0
WI,54868,Alumni ,,,0-0,31-40,Female,,0
WI,54880,Alumni ,,,0-0,51-60,Female,,0
MN,55720,Alumni ,,,0-0,41-50,Female,Married,0
WI,54880,Parent ,One-time gift,"Gigliotti, Tony, Scholarship",11-50,0-0,Male,Married,1
WI,54880,Alumni ,Pledge,Student Calling Fund,0-10,51-60,Male,Married,1
WI,54880,Alumni ,,,0-0,21-30,Female,,0
WI,54880,Friend ,Soft credit pledge,Student Calling Fund,0-10,0-0,Female,Married,1
Other,Other,Attended Didn't Graduate ,,,0-0,61-70,Female,,0
MN,Other,Friend ,One-time gift,Other,11-50,0-0,Female,Married,1
WI,54880,Alumni ,One-time gift,Alumni Association Membership Fund,0-10,0-0,Female,Single,1
,,Attended Didn't Graduate ,,,0-0,0-0,Male,,0
Other,Other,Alumni ,,,0-0,31-40,Female,Single,0
WI,54873,Friend ,One-time gift,Women's Softball Fund,11-50,0-0,Male,Married,1
,,Students ,,,0-0,21-30,Unknown,,0
,,Students ,,,0-0,0-20,Female,,0
WI,Other,Parent ,,,0-0,0-0,Male,,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
MN,Other,Alumni ,Pledge,Superior Fund,11-50,0-0,Female,,1
MN,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,21-30,Female,,0
CO,Other,Alumni ,,,0-0,71-80,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Unknown,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
CA,Other,Alumni ,Pledge,Superior Fund,11-50,0-0,Male,Married,1
GA,Other,Alumni ,,,0-0,31-40,Female,,0
CO,Other,Parent ,One-time gift,Other,51-100,0-0,Male,Married,1
,,Students ,,,0-0,21-30,Male,,0
WI,Other,Alumni ,,,0-0,41-50,Female,,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
WI,Other,Alumni ,,,0-0,21-30,Male,,0
WI,Other,Parent ,,,0-0,0-0,Male,Married,0
MN,55811,Attended Didn't Graduate ,,,0-0,31-40,Unknown,,0
MN,Other,Former Parent ,,,0-0,0-0,Male,Married,0
CO,Other,Friend ,One-time gift,"Nicholson, G.W., Scholarship",0-0,0-0,Female,Married,0
Other,Other,Alumni ,Pledge,Superior Fund,0-10,41-50,Female,Married,1
,,School ,,,0-0,0-0,,,0
WA,Other,Alumni ,,,0-0,31-40,Female,Single,0
MI,Other,Alumni ,,,0-0,0-0,Female,Married,0
Other,Other,Alumni ,Pledge,Superior Fund,11-50,71-80,Male,,1
MN,Other,Alumni ,One-time gift,Other,51-100,21-30,Male,,1
,,Attended Didn't Graduate ,,,0-0,41-50,Male,,0
WI,Other,Alumni ,,,0-0,0-0,Female,,0
MN,55733,Alumni ,,,0-0,61-70,Male,Married,0
MN,55733,Alumni ,,,0-0,21-30,Female,,0
MN,55733,Parent ,,,0-0,0-0,Female,Married,0
,,Parent ,,,0-0,0-0,Female,,0
WI,Other,Former Parent ,,,0-0,0-0,Male,Married,0
WI,Other,Friend ,,,0-0,0-0,Female,,0
WI,Other,Former Parent ,,,0-0,0-0,Unknown,Married,0
,,Attended Didn't Graduate ,,,0-0,21-30,Male,,0
MN,Other,Alumni ,,,0-0,21-30,Unknown,,0
MN,Other,Parent ,,,0-0,0-0,Unknown,Married,0
NC,Other,Alumni ,One-time gift,Other,11-50,61-70,Male,Married,1
MN,55811,Friend ,One-time gift,Other,11-50,0-0,Male,Married,1
WI,54016,Friend ,Pledge,Student Calling Fund,0-10,0-0,Female,Married,1
,,Students ,,,0-0,21-30,Female,,0
WI,54880,Alumni ,,,0-0,51-60,Male,Married,0
WI,54843,Alumni ,,,0-0,41-50,Female,,0
WI,Other,Alumni ,,,0-0,0-0,Male,Married,0
MN,Other,Alumni ,,,0-0,41-50,Female,,0
,,Students ,,,0-0,21-30,Unknown,,0
WI,54880,Alumni ,,,0-0,41-50,Female,Married,0
WI,Other,Alumni ,Pledge,Superior Fund,11-50,51-60,Female,,1
,,Students ,,,0-0,0-20,Female,,0
WI,54880,Alumni ,,,0-0,31-40,Female,Single,0
WI,Other,Alumni ,,,0-0,21-30,Female,,0
WI,54843,Former Parent ,,,0-0,0-0,Female,Married,0
WI,54843,Former Parent ,,,0-0,0-0,Male,Married,0
,,Attended Didn't Graduate ,,,0-0,0-0,Female,,0
